account id, bill id, billing address, amount (cents)
8,102,2565 Bridges Bay,600
8,103,2565 Bridges Bay,100
8,104,2565 Bridges Bay,1800
8,105,2565 Bridges Bay,400
8,106,2565 Bridges Bay,1700
9,107,26084 Servants Crescent,700
10,108,22841 Tower Way,600
10,109,22841 Tower Way,700
10,110,22841 Tower Way,1300
10,111,22841 Tower Way,500
10,112,22841 Tower Way,600
10,113,22841 Tower Way,300
10,114,22841 Tower Way,1900
10,115,22841 Tower Way,1200
10,116,22841 Tower Way,1000
10,117,22841 Tower Way,1200
10,118,22841 Tower Way,1100
10,119,22841 Tower Way,1300
10,120,22841 Tower Way,1100
10,121,22841 Tower Way,1700
10,122,22841 Tower Way,800
10,123,22841 Tower Way,1400
10,124,22841 Tower Way,1100
10,125,22841 Tower Way,2000
10,126,22841 Tower Way,700
10,127,22841 Tower Way,900
10,128,22841 Tower Way,100
10,129,22841 Tower Way,800
10,130,22841 Tower Way,1100
10,131,22841 Tower Way,600
10,132,22841 Tower Way,800
10,133,22841 Tower Way,1400
10,134,22841 Tower Way,1700
10,135,22841 Tower Way,1500
10,136,22841 Tower Way,1100
11,137,14794 Pleasure Avenue,1200
11,138,14794 Pleasure Avenue,1200
11,139,14794 Pleasure Avenue,1600
11,140,14794 Pleasure Avenue,1500
11,141,14794 Pleasure Avenue,600
11,142,14794 Pleasure Avenue,1400
11,143,14794 Pleasure Avenue,1500
11,144,14794 Pleasure Avenue,300
11,145,14794 Pleasure Avenue,500
11,146,14794 Pleasure Avenue,200
11,147,14794 Pleasure Avenue,300
11,148,14794 Pleasure Avenue,100
11,149,14794 Pleasure Avenue,1200
11,150,14794 Pleasure Avenue,800
11,151,14794 Pleasure Avenue,100
11,152,14794 Pleasure Avenue,1000
11,153,14794 Pleasure Avenue,1600
11,154,14794 Pleasure Avenue,1900
11,155,14794 Pleasure Avenue,1800
11,156,14794 Pleasure Avenue,200
11,157,14794 Pleasure Avenue,1800
11,158,14794 Pleasure Avenue,1200
11,159,14794 Pleasure Avenue,900
11,160,14794 Pleasure Avenue,100
11,161,14794 Pleasure Avenue,800
11,162,14794 Pleasure Avenue,1800
12,163,10572 End Avenue,400
12,164,10572 End Avenue,1200
12,165,10572 End Avenue,1200
12,166,10572 End Avenue,1000
12,167,10572 End Avenue,2000
12,168,10572 End Avenue,100
12,169,10572 End Avenue,1700
12,170,10572 End Avenue,500
12,171,10572 End Avenue,1200
12,172,10572 End Avenue,1600
12,173,10572 End Avenue,1300
12,174,10572 End Avenue,700
12,175,10572 End Avenue,100
12,176,10572 End Avenue,100
13,177,23726 Alien Avenue,700
13,178,23726 Alien Avenue,500
13,179,23726 Alien Avenue,1400
13,180,23726 Alien Avenue,400
13,181,23726 Alien Avenue,300
13,182,23726 Alien Avenue,100
13,183,23726 Alien Avenue,100
13,184,23726 Alien Avenue,400
13,185,23726 Alien Avenue,1600
13,186,23726 Alien Avenue,1200
14,187,20892 Wife Crescent,1200
14,188,20892 Wife Crescent,1400
14,189,20892 Wife Crescent,1000
14,190,20892 Wife Crescent,1500
14,191,20892 Wife Crescent,1100
14,192,20892 Wife Crescent,1200
14,193,20892 Wife Crescent,400
14,194,20892 Wife Crescent,1300
14,195,20892 Wife Crescent,900
14,196,20892 Wife Crescent,300
15,197,601 Wizard Highway,1200
15,198,601 Wizard Highway,900
15,199,601 Wizard Highway,1900
15,200,601 Wizard Highway,600
15,201,601 Wizard Highway,1600
15,202,601 Wizard Highway,1000
15,203,601 Wizard Highway,600
15,204,601 Wizard Highway,2000
15,205,601 Wizard Highway,1700
15,206,601 Wizard Highway,1200
15,207,601 Wizard Highway,200
15,208,601 Wizard Highway,1000
16,209,9721 Servant Crescent,300
16,210,9721 Servant Crescent,500
16,211,9721 Servant Crescent,900
16,212,9721 Servant Crescent,1300
16,213,9721 Servant Crescent,1800
16,214,9721 Servant Crescent,700
16,215,9721 Servant Crescent,400
16,216,9721 Servant Crescent,1600
16,217,9721 Servant Crescent,500
16,218,9721 Servant Crescent,1800
16,219,9721 Servant Crescent,700
16,220,9721 Servant Crescent,1000
16,221,9721 Servant Crescent,400
16,222,9721 Servant Crescent,100
16,223,9721 Servant Crescent,900
16,224,9721 Servant Crescent,1600
16,225,9721 Servant Crescent,1300
16,226,9721 Servant Crescent,500
16,227,9721 Servant Crescent,1900
16,228,9721 Servant Crescent,200
16,229,9721 Servant Crescent,1000
16,230,9721 Servant Crescent,1200
16,231,9721 Servant Crescent,1700
16,232,9721 Servant Crescent,100
16,233,9721 Servant Crescent,1400
16,234,9721 Servant Crescent,600
16,235,9721 Servant Crescent,1900
16,236,9721 Servant Crescent,1300
17,237,27270 Man Way,1700
17,238,27270 Man Way,1900
17,239,27270 Man Way,1800
17,240,27270 Man Way,1200
17,241,27270 Man Way,1500
17,242,27270 Man Way,1500
17,243,27270 Man Way,500
17,244,27270 Man Way,600
18,245,9429 End Highway,1000
18,246,9429 End Highway,1900
18,247,9429 End Highway,600
18,248,9429 End Highway,1400
18,249,9429 End Highway,200
18,250,9429 End Highway,1400
19,251,16913 Healer Turnpike,1400
19,252,16913 Healer Turnpike,600
19,253,16913 Healer Turnpike,200
19,254,16913 Healer Turnpike,900
19,255,16913 Healer Turnpike,400
19,256,16913 Healer Turnpike,1300
19,257,16913 Healer Turnpike,300
19,258,16913 Healer Turnpike,1000
19,259,16913 Healer Turnpike,1100
19,260,16913 Healer Turnpike,1600
19,261,16913 Healer Turnpike,500
19,262,16913 Healer Turnpike,1700
19,263,16913 Healer Turnpike,1900
19,264,16913 Healer Turnpike,800
19,265,16913 Healer Turnpike,900
19,266,16913 Healer Turnpike,300
19,267,16913 Healer Turnpike,1400
19,268,16913 Healer Turnpike,600
19,269,16913 Healer Turnpike,1300
19,270,16913 Healer Turnpike,100
19,271,16913 Healer Turnpike,1100
19,272,16913 Healer Turnpike,400
19,273,16913 Healer Turnpike,1100
19,274,16913 Healer Turnpike,900
20,275,22249 Thorns Street,500
20,276,22249 Thorns Street,1000
20,277,22249 Thorns Street,300
20,278,22249 Thorns Street,600
20,279,22249 Thorns Street,400
20,280,22249 Thorns Street,1400
20,281,22249 Thorns Street,300
20,282,22249 Thorns Street,900
20,283,22249 Thorns Street,300
20,284,22249 Thorns Street,400
20,285,22249 Thorns Street,1900
20,286,22249 Thorns Street,600
21,287,6250 Fire Way,800
21,288,6250 Fire Way,800
21,289,6250 Fire Way,1600
21,290,6250 Fire Way,300
21,291,6250 Fire Way,1600
21,292,6250 Fire Way,900
21,293,6250 Fire Way,1500
21,294,6250 Fire Way,100
21,295,6250 Fire Way,400
21,296,6250 Fire Way,500
21,297,6250 Fire Way,100
21,298,6250 Fire Way,1800
21,299,6250 Fire Way,200
21,300,6250 Fire Way,1200
21,301,6250 Fire Way,400
21,302,6250 Fire Way,400
21,303,6250 Fire Way,1800
21,304,6250 Fire Way,1500
21,305,6250 Fire Way,1100
21,306,6250 Fire Way,1200
21,307,6250 Fire Way,1700
21,308,6250 Fire Way,1900
21,309,6250 Fire Way,1100
21,310,6250 Fire Way,1800
21,311,6250 Fire Way,400
21,312,6250 Fire Way,1100
21,313,6250 Fire Way,600
21,314,6250 Fire Way,800
22,315,8381 Women Crescent,1100
22,316,8381 Women Crescent,1400
22,317,8381 Women Crescent,1000
22,318,8381 Women Crescent,1400
23,319,27749 Souls Turnpike,1100
23,320,27749 Souls Turnpike,1900
23,321,27749 Souls Turnpike,700
23,322,27749 Souls Turnpike,1400
23,323,27749 Souls Turnpike,1000
23,324,27749 Souls Turnpike,500
23,325,27749 Souls Turnpike,800
23,326,27749 Souls Turnpike,1500
23,327,27749 Souls Turnpike,1700
23,328,27749 Souls Turnpike,1300
23,329,27749 Souls Turnpike,700
23,330,27749 Souls Turnpike,300
23,331,27749 Souls Turnpike,600
23,332,27749 Souls Turnpike,1000
23,333,27749 Souls Turnpike,1000
23,334,27749 Souls Turnpike,200
23,335,27749 Souls Turnpike,800
24,336,28457 Soaring Avenue,1900
25,337,26153 Wizard Turnpike,700
25,338,26153 Wizard Turnpike,1700
25,339,26153 Wizard Turnpike,300
25,340,26153 Wizard Turnpike,1800
25,341,26153 Wizard Turnpike,200
25,342,26153 Wizard Turnpike,1600
25,343,26153 Wizard Turnpike,1300
25,344,26153 Wizard Turnpike,400
25,345,26153 Wizard Turnpike,900
25,346,26153 Wizard Turnpike,300
25,347,26153 Wizard Turnpike,300
25,348,26153 Wizard Turnpike,700
25,349,26153 Wizard Turnpike,1000
25,350,26153 Wizard Turnpike,100
25,351,26153 Wizard Turnpike,1400
25,352,26153 Wizard Turnpike,400
25,353,26153 Wizard Turnpike,900
25,354,26153 Wizard Turnpike,1400
25,355,26153 Wizard Turnpike,1000
25,356,26153 Wizard Turnpike,700
25,357,26153 Wizard Turnpike,500
25,358,26153 Wizard Turnpike,1900
25,359,26153 Wizard Turnpike,1800
25,360,26153 Wizard Turnpike,200
26,361,27296 Kiss Highway,1200
27,362,22591 Servants Highway,800
27,363,22591 Servants Highway,2000
27,364,22591 Servants Highway,1400
28,365,27494 Emerald Crescent,1500
28,366,27494 Emerald Crescent,1200
28,367,27494 Emerald Crescent,1500
28,368,27494 Emerald Crescent,1300
28,369,27494 Emerald Crescent,1500
28,370,27494 Emerald Crescent,600
28,371,27494 Emerald Crescent,1300
28,372,27494 Emerald Crescent,300
28,373,27494 Emerald Crescent,1500
28,374,27494 Emerald Crescent,2000
28,375,27494 Emerald Crescent,1100
29,376,16851 Flames Turnpike,1000
29,377,16851 Flames Turnpike,800
30,378,17560 Flowers Street,1700
30,379,17560 Flowers Street,1000
30,380,17560 Flowers Street,1400
30,381,17560 Flowers Street,300
30,382,17560 Flowers Street,300
30,383,17560 Flowers Street,1200
30,384,17560 Flowers Street,1000
31,385,4298 Past Bay,100
31,386,4298 Past Bay,600
31,387,4298 Past Bay,1900
31,388,4298 Past Bay,800
31,389,4298 Past Bay,1200
31,390,4298 Past Bay,1800
31,391,4298 Past Bay,1900
31,392,4298 Past Bay,500
31,393,4298 Past Bay,300
31,394,4298 Past Bay,700
31,395,4298 Past Bay,2000
31,396,4298 Past Bay,1800
31,397,4298 Past Bay,1300
31,398,4298 Past Bay,400
32,399,20229 Doors Street,400
32,400,20229 Doors Street,1000
33,401,21438 Prophecy Bay,1000
33,402,21438 Prophecy Bay,2000
33,403,21438 Prophecy Bay,2000
33,404,21438 Prophecy Bay,2000
33,405,21438 Prophecy Bay,1300
33,406,21438 Prophecy Bay,900
33,407,21438 Prophecy Bay,400
33,408,21438 Prophecy Bay,2000
33,409,21438 Prophecy Bay,900
33,410,21438 Prophecy Bay,1800
34,411,13546 Husband Avenue,1500
34,412,13546 Husband Avenue,1200
34,413,13546 Husband Avenue,1200
34,414,13546 Husband Avenue,500
34,415,13546 Husband Avenue,100
34,416,13546 Husband Avenue,1100
34,417,13546 Husband Avenue,300
35,418,25717 Magic Highway,1800
36,419,13019 Future Turnpike,1200
36,420,13019 Future Turnpike,800
36,421,13019 Future Turnpike,300
36,422,13019 Future Turnpike,1900
36,423,13019 Future Turnpike,1500
36,424,13019 Future Turnpike,700
36,425,13019 Future Turnpike,300
36,426,13019 Future Turnpike,1100
36,427,13019 Future Turnpike,500
36,428,13019 Future Turnpike,1300
36,429,13019 Future Turnpike,800
36,430,13019 Future Turnpike,1200
36,431,13019 Future Turnpike,600
36,432,13019 Future Turnpike,700
36,433,13019 Future Turnpike,1800
36,434,13019 Future Turnpike,300
36,435,13019 Future Turnpike,1300
36,436,13019 Future Turnpike,1800
36,437,13019 Future Turnpike,1400
36,438,13019 Future Turnpike,1300
36,439,13019 Future Turnpike,2000
36,440,13019 Future Turnpike,600
36,441,13019 Future Turnpike,700
36,442,13019 Future Turnpike,1200
37,443,14337 Snake Way,1900
37,444,14337 Snake Way,1300
37,445,14337 Snake Way,2000
37,446,14337 Snake Way,400
37,447,14337 Snake Way,200
37,448,14337 Snake Way,500
37,449,14337 Snake Way,1100
37,450,14337 Snake Way,1800
37,451,14337 Snake Way,400
37,452,14337 Snake Way,1100
37,453,14337 Snake Way,1400
37,454,14337 Snake Way,500
38,455,18469 Names Way,1900
38,456,18469 Names Way,1600
38,457,18469 Names Way,1000
38,458,18469 Names Way,300
38,459,18469 Names Way,200
38,460,18469 Names Way,1400
38,461,18469 Names Way,100
38,462,18469 Names Way,300
38,463,18469 Names Way,1300
38,464,18469 Names Way,100
39,465,20889 Snake Bay,300
39,466,20889 Snake Bay,1600
39,467,20889 Snake Bay,1700
40,468,6084 Academy Avenue,2000
40,469,6084 Academy Avenue,1100
40,470,6084 Academy Avenue,1600
40,471,6084 Academy Avenue,1200
40,472,6084 Academy Avenue,1200
40,473,6084 Academy Avenue,1500
40,474,6084 Academy Avenue,1100
40,475,6084 Academy Avenue,1200
40,476,6084 Academy Avenue,1900
40,477,6084 Academy Avenue,1100
40,478,6084 Academy Avenue,1500
40,479,6084 Academy Avenue,200
40,480,6084 Academy Avenue,1900
40,481,6084 Academy Avenue,500
40,482,6084 Academy Avenue,800
40,483,6084 Academy Avenue,900
40,484,6084 Academy Avenue,1600
40,485,6084 Academy Avenue,400
40,486,6084 Academy Avenue,200
40,487,6084 Academy Avenue,2000
40,488,6084 Academy Avenue,100
40,489,6084 Academy Avenue,300
40,490,6084 Academy Avenue,1800
40,491,6084 Academy Avenue,2000
41,492,18440 Cloud Bay,300
41,493,18440 Cloud Bay,100
41,494,18440 Cloud Bay,100
41,495,18440 Cloud Bay,400
41,496,18440 Cloud Bay,800
41,497,18440 Cloud Bay,1400
41,498,18440 Cloud Bay,1000
41,499,18440 Cloud Bay,500
41,500,18440 Cloud Bay,1900
41,501,18440 Cloud Bay,1800
41,502,18440 Cloud Bay,2000
41,503,18440 Cloud Bay,800
41,504,18440 Cloud Bay,1800
41,505,18440 Cloud Bay,700
41,506,18440 Cloud Bay,1400
41,507,18440 Cloud Bay,800
41,508,18440 Cloud Bay,200
41,509,18440 Cloud Bay,1400
41,510,18440 Cloud Bay,400
41,511,18440 Cloud Bay,2000
41,512,18440 Cloud Bay,1100
41,513,18440 Cloud Bay,1200
41,514,18440 Cloud Bay,1800
41,515,18440 Cloud Bay,1900
41,516,18440 Cloud Bay,400
41,517,18440 Cloud Bay,300
41,518,18440 Cloud Bay,1300
41,519,18440 Cloud Bay,800
42,520,7409 Ashes Turnpike,800
42,521,7409 Ashes Turnpike,200
42,522,7409 Ashes Turnpike,800
42,523,7409 Ashes Turnpike,900
42,524,7409 Ashes Turnpike,1800
42,525,7409 Ashes Turnpike,1500
42,526,7409 Ashes Turnpike,1900
42,527,7409 Ashes Turnpike,1700
42,528,7409 Ashes Turnpike,2000
42,529,7409 Ashes Turnpike,200
42,530,7409 Ashes Turnpike,400
42,531,7409 Ashes Turnpike,1100
42,532,7409 Ashes Turnpike,1100
42,533,7409 Ashes Turnpike,1100
42,534,7409 Ashes Turnpike,500
42,535,7409 Ashes Turnpike,500
42,536,7409 Ashes Turnpike,400
43,537,24622 Worlds Crescent,1400
43,538,24622 Worlds Crescent,1200
43,539,24622 Worlds Crescent,1900
43,540,24622 Worlds Crescent,1200
43,541,24622 Worlds Crescent,1000
43,542,24622 Worlds Crescent,200
43,543,24622 Worlds Crescent,800
43,544,24622 Worlds Crescent,1300
43,545,24622 Worlds Crescent,1700
43,546,24622 Worlds Crescent,600
43,547,24622 Worlds Crescent,700
43,548,24622 Worlds Crescent,1200
43,549,24622 Worlds Crescent,900
43,550,24622 Worlds Crescent,100
43,551,24622 Worlds Crescent,1800
43,552,24622 Worlds Crescent,700
43,553,24622 Worlds Crescent,300
43,554,24622 Worlds Crescent,1100
43,555,24622 Worlds Crescent,800
43,556,24622 Worlds Crescent,900
44,557,19588 Boy Street,1000
44,558,19588 Boy Street,800
44,559,19588 Boy Street,400
44,560,19588 Boy Street,1100
44,561,19588 Boy Street,1300
44,562,19588 Boy Street,100
44,563,19588 Boy Street,600
44,564,19588 Boy Street,1900
44,565,19588 Boy Street,1600
44,566,19588 Boy Street,1500
44,567,19588 Boy Street,600
44,568,19588 Boy Street,1200
44,569,19588 Boy Street,600
44,570,19588 Boy Street,300
44,571,19588 Boy Street,200
44,572,19588 Boy Street,1800
45,573,14225 Stream Crescent,900
45,574,14225 Stream Crescent,1600
45,575,14225 Stream Crescent,500
45,576,14225 Stream Crescent,800
45,577,14225 Stream Crescent,300
45,578,14225 Stream Crescent,500
45,579,14225 Stream Crescent,900
45,580,14225 Stream Crescent,600
45,581,14225 Stream Crescent,800
45,582,14225 Stream Crescent,1400
45,583,14225 Stream Crescent,100
45,584,14225 Stream Crescent,700
45,585,14225 Stream Crescent,200
45,586,14225 Stream Crescent,300
45,587,14225 Stream Crescent,400
45,588,14225 Stream Crescent,1300
45,589,14225 Stream Crescent,600
45,590,14225 Stream Crescent,800
45,591,14225 Stream Crescent,900
46,592,20509 Wizards Crescent,1900
46,593,20509 Wizards Crescent,100
46,594,20509 Wizards Crescent,600
46,595,20509 Wizards Crescent,100
46,596,20509 Wizards Crescent,1400
46,597,20509 Wizards Crescent,500
46,598,20509 Wizards Crescent,600
46,599,20509 Wizards Crescent,1700
46,600,20509 Wizards Crescent,700
46,601,20509 Wizards Crescent,2000
46,602,20509 Wizards Crescent,1200
46,603,20509 Wizards Crescent,2000
46,604,20509 Wizards Crescent,1700
46,605,20509 Wizards Crescent,1600
46,606,20509 Wizards Crescent,300
46,607,20509 Wizards Crescent,500
46,608,20509 Wizards Crescent,1400
46,609,20509 Wizards Crescent,700
46,610,20509 Wizards Crescent,300
46,611,20509 Wizards Crescent,1500
46,612,20509 Wizards Crescent,900
46,613,20509 Wizards Crescent,100
46,614,20509 Wizards Crescent,600
46,615,20509 Wizards Crescent,1400
46,616,20509 Wizards Crescent,2000
46,617,20509 Wizards Crescent,1100
47,618,25107 Night Crescent,1300
47,619,25107 Night Crescent,800
47,620,25107 Night Crescent,500
47,621,25107 Night Crescent,800
47,622,25107 Night Crescent,700
47,623,25107 Night Crescent,700
47,624,25107 Night Crescent,1900
47,625,25107 Night Crescent,500
47,626,25107 Night Crescent,1100
47,627,25107 Night Crescent,600
47,628,25107 Night Crescent,300
47,629,25107 Night Crescent,700
47,630,25107 Night Crescent,1900
47,631,25107 Night Crescent,600
47,632,25107 Night Crescent,600
47,633,25107 Night Crescent,1900
48,634,11032 Scent Crescent,500
48,635,11032 Scent Crescent,1800
48,636,11032 Scent Crescent,1500
48,637,11032 Scent Crescent,100
48,638,11032 Scent Crescent,1600
49,639,20422 Serpents Avenue,900
49,640,20422 Serpents Avenue,300
49,641,20422 Serpents Avenue,1600
49,642,20422 Serpents Avenue,900
49,643,20422 Serpents Avenue,2000
49,644,20422 Serpents Avenue,700
49,645,20422 Serpents Avenue,1000
49,646,20422 Serpents Avenue,1800
49,647,20422 Serpents Avenue,1000
49,648,20422 Serpents Avenue,300
49,649,20422 Serpents Avenue,1000
49,650,20422 Serpents Avenue,1500
49,651,20422 Serpents Avenue,1600
49,652,20422 Serpents Avenue,1900
49,653,20422 Serpents Avenue,600
49,654,20422 Serpents Avenue,300
49,655,20422 Serpents Avenue,1000
49,656,20422 Serpents Avenue,1100
49,657,20422 Serpents Avenue,1400
49,658,20422 Serpents Avenue,700
50,659,10025 Ice Turnpike,1300
50,660,10025 Ice Turnpike,900
50,661,10025 Ice Turnpike,1500
50,662,10025 Ice Turnpike,1400
50,663,10025 Ice Turnpike,1600
50,664,10025 Ice Turnpike,200
50,665,10025 Ice Turnpike,1500
50,666,10025 Ice Turnpike,1300
50,667,10025 Ice Turnpike,900
50,668,10025 Ice Turnpike,1800
50,669,10025 Ice Turnpike,1300
50,670,10025 Ice Turnpike,700
50,671,10025 Ice Turnpike,1900
50,672,10025 Ice Turnpike,1600
50,673,10025 Ice Turnpike,600
50,674,10025 Ice Turnpike,1100
50,675,10025 Ice Turnpike,1900
50,676,10025 Ice Turnpike,1500
50,677,10025 Ice Turnpike,1800
50,678,10025 Ice Turnpike,300
50,679,10025 Ice Turnpike,1600
50,680,10025 Ice Turnpike,400
